Superficie frut’cola ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hect‡reas;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A–os;;;;;;;;;;;;;;;;;;;;;;;;;;;
Especie;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Variaci—n;Participaci—n
 Tuna ;1,060.34;1,061.14;1,053.76;1,001.93;1,031.70;1,076.33;1,482.13;1,481.06;1,480.64;1,452.26;1,442.21;1,240.11;950.38;950.35;959.12;934.4;799.55;799.38;784.86;769.4;766.58;596.8;602.76;598.77;573.65;521.77;-9.00%;0.20%
 Vid de mesa ;46,030.28;46,010.56;45,390.08;44,919.02;47,732.85;48,504.12;50,983.36;50,975.35;50,869.31;52,185.38;53,338.51;52,654.95;53,850.73;53,849.88;53,727.16;52,234.06;48,593.24;48,582.18;48,202.19;47,799.80;47,834.19;45,489.49;43,104.05;43,024.91;39,930.58;33,154.56;-17.00%;11.50%
 Zarzaparrilla negra ;56.34;31.45;6.45;6.45;1.75;1.75;1.75;2.75;9.06;9.06;9.06;9.06;9.06;9.44;1.38;1.38;1.38;0.8;0.8;0.8;2;2;2; - ; - ;;;
 Zarzaparrilla roja ;60.21;50.32;25.88;25.88;31.68;27.32;27.32;31.56;50.11;50.11;46.02;46.99;46.99;69.97;73.29;72.77;71.06;117.62;117.17;117.17;57.35;57.35;57.35;121.91;121.91;147.48;21.00%;0.00%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Total general ;182,555.92;186,102.76;192,407.67;200,089.01;206,344.18;211,293.79;221,139.98;225,884.27;237,707.81;249,544;264,818.57;267,490.96;276,120.61;286,307.90;300,061.35;297,043.97;296,586.61;309,526.90;315,735.43;321,589.59;342,654.21;344,281.54;352,970.21;375,598.41;373,122.57;386,572.73;3.60%;100.00%
Fuente: catastros frut’colas Odepa_Ciren. Superficie mayor a 0,5 hect‡reas;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nota: la superficie anual corresonde a la suma de catastros de distintos a–os segœn se detalla:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2024: Atacama y Coquimbo 2024; Valpara’so 2023; Metropolitana 2023; O«Higgins 2024; Maule 2024 „uble 2024; Biob’o 2024; La Araucania 2024; Los R’os 2024; Los Lagos 2024; AysŽn 2022; Arica y Parinacota 2022 y Tarapac‡ 2022";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2023: Atacama y Coquimbo 2021; Valpara’so 2023; Metropolitana 2023; O«Higgins 2021; Maule 2022 „uble 2022; Biob’o 2022; La Araucania 2022; Los R’os 2022; Los Lagos 2022; AysŽn 2022; Arica y Parinacota 2022 y Tarapac‡ 2022";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2022: Atacama y Coquimbo 2021; Valpara’so 2020; Metropolitana 2020; O«Higgins 2021; Maule 2022 „uble 2022; Biob’o 2022; La Araucania 2022; Los R’os 2022; Los Lagos 2022; AysŽn 2022; Arica y Parinacota 2022 y Tarapac‡ 2022";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2021: Atacama y Coquimbo 2021; Valpara’so 2020; Metropolitana 2020; O«Higgins 2021; Maule 2019; „uble 2019; Biob’o 2019; La Araucania 2019; Los R’os 2019; Los Lagos 2019; AysŽn 2019; Arica y Parinacota 2019 y Tarapac‡ 2019";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2020: Atacama y Coquimbo 2018; Valpara’so 2020; Metropolitana 2020; O«Higgins 2018; Maule 2019; „uble 2019; Biob’o 2019; La Araucania 2019; Los R’os 2019; Los Lagos 2019; AysŽn 2019; Arica y Parinacota 2019 y Tarapac‡ 2019";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2019: Atacama y Coquimbo 2018; Valpara’so 2017; Metropolitana 2017; O«Higgins 2018; Maule 2019; „uble 2019; Biob’o 2019; La Araucania 2019; Los R’os 2019; Los Lagos 2019; AysŽn 2019; Arica y Parinacota 2019 y Tarapac‡ 2019";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2018: Atacama y Coquimbo 2018; Valpara’so 2017; Metropolitana 2017; O«Higgins 2018; Maule 2016; Bio Bio 2016; La Araucania 2016; Los R’os y Los Lagos 2016; AysŽn 2016; Arica y Parinacota 2016 y Tarapac‡ 2016";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2017: Atacama y Coquimbo 2015; Valpara’so 2017; Metropolitana 2017; O«Higgins 2015; Maule 2016; Bio Bio 2016; La Araucania 2016; Los R’os y Los Lagos 2016; AysŽn 2016; Arica y Parinacota 2016 y Tarapac‡ 2016";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actualizaci—n 2016: Atacama y Coquimbo 2015; Valpara’so 2014; Metropolitana 2014; O«Higgins 2015; Maule 2016; Bio Bio 2016; La Araucania 2016; Los R’os y Los Lagos 2016; AysŽn 2016; Arica y Parinacota 2016 y Tarapac‡ 2016";;;;;;;;;;;;;;;;;;;;;;;;;;;;
