especie;año;hectareas;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2001;9.28;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2000;12.35;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;1999;12.35;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2024;157.18;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2023;148.54;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2022;136.56;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2021;146.17;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2020;149.3;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2019;103.49;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2018;97.53;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2017;96.86;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2016;61.33;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2015;58.73;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2014;72.12;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2013;61.25;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2012;62.73;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2011;62.59;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2010;63.01;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2009;65.32;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2008;43.68;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2007;42.6;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2006;25.38;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2005;24.23;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2004;21.44;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2003;8.07;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2002;3.77;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2001;3.66;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;2000;3.66;;;;;;;;;;;;;;;;;;;;;;;;
Pistacho;1999;3.66;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
